iter	Passed	Remaining
0	21	21281
1	41	20581
2	62	20798
3	82	20524
4	102	20347
5	122	20213
6	142	20167
7	162	20161
8	183	20248
9	204	20242
10	225	20314
11	247	20349
12	268	20361
13	288	20314
14	309	20338
15	330	20304
16	350	20242
17	370	20232
18	390	20169
19	411	20164
20	432	20171
21	454	20188
22	474	20154
23	495	20149
24	516	20160
25	537	20123
26	558	20131
27	579	20102
28	599	20087
29	621	20080
30	642	20073
31	662	20039
32	682	20008
33	704	20005
34	725	20008
35	746	19989
36	766	19957
37	789	19978
38	809	19940
39	829	19910
40	850	19882
41	870	19864
42	890	19825
43	911	19796
44	931	19774
45	952	19745
46	973	19731
47	993	19712
48	1014	19698
49	1035	19680
50	1056	19667
51	1076	19632
52	1097	19612
53	1117	19579
54	1138	19553
55	1159	19546
56	1180	19527
57	1200	19502
58	1220	19468
59	1240	19442
60	1263	19442
61	1284	19440
62	1306	19430
63	1326	19398
64	1346	19368
65	1366	19342
66	1386	19309
67	1406	19282
68	1427	19256
69	1447	19232
70	1469	19229
71	1490	19216
72	1512	19203
73	1534	19198
74	1554	19173
75	1574	19147
76	1595	19129
77	1616	19109
78	1637	19091
79	1658	19067
80	1678	19049
81	1699	19026
82	1720	19004
83	1741	18991
84	1763	18984
85	1783	18959
86	1804	18933
87	1825	18918
88	1845	18893
89	1866	18874
90	1886	18847
91	1907	18821
92	1928	18807
93	1948	18784
94	1970	18769
95	1990	18746
96	2012	18739
97	2036	18747
98	2062	18768
99	2083	18753
100	2103	18726
101	2124	18705
102	2145	18681
103	2165	18659
104	2185	18632
105	2206	18611
106	2226	18582
107	2246	18555
108	2268	18542
109	2290	18531
110	2310	18506
111	2331	18481
112	2351	18461
113	2372	18441
114	2393	18417
115	2414	18399
116	2435	18379
117	2456	18362
118	2478	18350
119	2499	18330
120	2521	18316
121	2542	18298
122	2563	18280
123	2584	18255
124	2604	18231
125	2625	18213
126	2646	18192
127	2667	18169
128	2689	18158
129	2709	18132
130	2730	18113
131	2752	18097
132	2773	18078
133	2793	18053
134	2813	18027
135	2833	18001
136	2853	17974
137	2873	17951
138	2893	17925
139	2914	17901
140	2934	17878
141	2954	17854
142	2974	17828
143	2994	17802
144	3015	17782
145	3038	17770
146	3059	17754
147	3081	17737
148	3102	17718
149	3122	17695
150	3143	17676
151	3165	17657
152	3186	17639
153	3207	17618
154	3227	17594
155	3248	17575
156	3269	17554
157	3289	17530
158	3310	17512
159	3331	17491
160	3351	17466
161	3371	17442
162	3391	17417
163	3411	17392
164	3433	17374
165	3455	17358
166	3475	17338
167	3496	17317
168	3518	17300
169	3539	17281
170	3560	17262
171	3580	17236
172	3600	17212
173	3621	17192
174	3642	17172
175	3662	17148
176	3683	17124
177	3703	17103
178	3725	17086
179	3745	17062
180	3767	17046
181	3789	17031
182	3810	17011
183	3830	16986
184	3850	16963
185	3872	16945
186	3893	16925
187	3914	16906
188	3936	16890
189	3956	16867
190	3977	16848
191	3999	16829
192	4020	16809
193	4041	16789
194	4062	16771
195	4082	16747
196	4103	16725
197	4124	16705
198	4145	16686
199	4166	16664
200	4187	16645
201	4208	16624
202	4229	16605
203	4250	16587
204	4271	16565
205	4292	16543
206	4312	16519
207	4333	16500
208	4354	16481
209	4375	16460
210	4395	16436
211	4416	16414
212	4436	16391
213	4456	16369
214	4477	16346
215	4497	16323
216	4517	16301
217	4539	16284
218	4561	16268
219	4582	16247
220	4602	16224
221	4623	16203
222	4645	16185
223	4665	16162
224	4687	16144
225	4707	16120
226	4728	16101
227	4750	16085
228	4771	16065
229	4792	16045
230	4813	16023
231	4834	16002
232	4854	15980
233	4874	15958
234	4896	15938
235	4917	15919
236	4939	15902
237	4961	15884
238	4982	15865
239	5003	15845
240	5025	15825
241	5046	15807
242	5066	15784
243	5087	15763
